reference,sheet,field,truth
26_0014_FUL,01-1,scale,1:1250
26_0014_FUL,01-1,drawing_type,location_plan
26_0014_FUL,01-1,floor_label,none
26_0014_FUL,01-1,north_arrow,yes
26_0014_FUL,02-1,scale,1:1250
26_0014_FUL,02-1,drawing_type,location_plan
26_0014_FUL,02-1,floor_label,none
26_0014_FUL,02-1,north_arrow,yes
26_0014_FUL,03-1,scale,1:100
26_0014_FUL,03-1,drawing_type,site_plan
26_0014_FUL,03-1,floor_label,none
26_0014_FUL,03-1,north_arrow,yes
26_0014_FUL,04-1,scale,1:100
26_0014_FUL,04-1,drawing_type,floor_plan
26_0014_FUL,04-1,floor_label,multiple
26_0014_FUL,04-1,north_arrow,no
26_0014_FUL,04-1,room_count,10
26_0014_FUL,05-1,scale,1:100
26_0014_FUL,05-1,drawing_type,floor_plan
26_0014_FUL,05-1,floor_label,multiple
26_0014_FUL,05-1,north_arrow,no
26_0014_FUL,05-1,room_count,12
26_0014_FUL,06-1,scale,1:100
26_0014_FUL,06-1,drawing_type,elevation
26_0014_FUL,06-1,floor_label,none
26_0014_FUL,06-1,north_arrow,no
26_0014_FUL,07-1,scale,1:100
26_0014_FUL,07-1,drawing_type,elevation
26_0014_FUL,07-1,floor_label,none
26_0014_FUL,07-1,north_arrow,no
26_0014_FUL,08-1,scale,1:100
26_0014_FUL,08-1,drawing_type,site_plan
26_0014_FUL,08-1,floor_label,none
26_0014_FUL,08-1,north_arrow,yes
26_0028_FUL,01-1,scale,various
26_0028_FUL,01-1,drawing_type,location_plan
26_0028_FUL,01-1,floor_label,none
26_0028_FUL,01-1,north_arrow,yes
26_0028_FUL,02-1,scale,various
26_0028_FUL,02-1,drawing_type,elevation
26_0028_FUL,02-1,floor_label,none
26_0028_FUL,02-1,north_arrow,no
26_0028_FUL,03-1,scale,various
26_0028_FUL,03-1,drawing_type,elevation
26_0028_FUL,03-1,floor_label,none
26_0028_FUL,03-1,north_arrow,no
26_0028_FUL,04-1,scale,various
26_0028_FUL,04-1,drawing_type,floor_plan
26_0028_FUL,04-1,floor_label,ground
26_0028_FUL,04-1,north_arrow,yes
26_0028_FUL,04-1,room_count,7
26_0028_FUL,04-1,storeys,2
26_0028_FUL,05-1,scale,various
26_0028_FUL,05-1,drawing_type,elevation
26_0028_FUL,05-1,floor_label,none
26_0028_FUL,05-1,north_arrow,no
26_0028_FUL,06-1,scale,various
26_0028_FUL,06-1,drawing_type,elevation
26_0028_FUL,06-1,floor_label,none
26_0028_FUL,06-1,north_arrow,no
26_0028_FUL,07-1,scale,various
26_0028_FUL,07-1,drawing_type,floor_plan
26_0028_FUL,07-1,floor_label,ground
26_0028_FUL,07-1,north_arrow,yes
26_0028_FUL,07-1,room_count,5
26_0028_FUL,07-1,storeys,2
26_0028_FUL,08-1,scale,various
26_0028_FUL,08-1,drawing_type,floor_plan
26_0028_FUL,08-1,floor_label,first
26_0028_FUL,08-1,north_arrow,yes
26_0028_FUL,08-1,room_count,5
26_0028_FUL,09-1,scale,various
26_0028_FUL,09-1,drawing_type,floor_plan
26_0028_FUL,09-1,floor_label,first
26_0028_FUL,09-1,north_arrow,yes
26_0028_FUL,09-1,room_count,9
26_0041_FUL,01-1,scale,various
26_0041_FUL,01-1,drawing_type,location_plan
26_0041_FUL,01-1,floor_label,none
26_0041_FUL,01-1,north_arrow,yes
26_0041_FUL,02-1,scale,1:200
26_0041_FUL,02-1,drawing_type,site_plan
26_0041_FUL,02-1,floor_label,none
26_0041_FUL,02-1,north_arrow,yes
26_0041_FUL,03-1,scale,1:100
26_0041_FUL,03-1,drawing_type,floor_plan
26_0041_FUL,03-1,floor_label,ground
26_0041_FUL,03-1,north_arrow,yes
26_0041_FUL,03-1,room_count,5
26_0041_FUL,03-1,storeys,3
26_0041_FUL,04-1,scale,1:100
26_0041_FUL,04-1,drawing_type,floor_plan
26_0041_FUL,04-1,floor_label,first
26_0041_FUL,04-1,north_arrow,yes
26_0041_FUL,04-1,room_count,5
26_0041_FUL,05-1,scale,1:100
26_0041_FUL,05-1,drawing_type,floor_plan
26_0041_FUL,05-1,floor_label,second
26_0041_FUL,05-1,north_arrow,yes
26_0041_FUL,05-1,room_count,2
26_0041_FUL,06-1,scale,1:100
26_0041_FUL,06-1,drawing_type,floor_plan
26_0041_FUL,06-1,floor_label,roof
26_0041_FUL,06-1,north_arrow,yes
26_0041_FUL,06-1,room_count,0
26_0041_FUL,07-1,scale,1:100
26_0041_FUL,07-1,drawing_type,section
26_0041_FUL,07-1,floor_label,none
26_0041_FUL,07-1,north_arrow,no
26_0041_FUL,08-1,scale,1:100
26_0041_FUL,08-1,drawing_type,floor_plan
26_0041_FUL,08-1,floor_label,ground
26_0041_FUL,08-1,north_arrow,yes
26_0041_FUL,08-1,room_count,5
26_0041_FUL,08-1,storeys,3
26_0041_FUL,09-1,scale,1:100
26_0041_FUL,09-1,drawing_type,section
26_0041_FUL,09-1,floor_label,none
26_0041_FUL,09-1,north_arrow,no
26_0041_FUL,10-1,scale,various
26_0041_FUL,10-1,drawing_type,location_plan
26_0041_FUL,10-1,floor_label,none
26_0041_FUL,10-1,north_arrow,yes
26_0041_FUL,11-1,scale,1:100
26_0041_FUL,11-1,drawing_type,elevation
26_0041_FUL,11-1,floor_label,none
26_0041_FUL,11-1,north_arrow,no
26_0041_FUL,12-1,scale,1:200
26_0041_FUL,12-1,drawing_type,site_plan
26_0041_FUL,12-1,floor_label,none
26_0041_FUL,12-1,north_arrow,yes
26_0041_FUL,13-1,scale,1:100
26_0041_FUL,13-1,drawing_type,floor_plan
26_0041_FUL,13-1,floor_label,first
26_0041_FUL,13-1,north_arrow,yes
26_0041_FUL,13-1,room_count,4
26_0041_FUL,14-1,scale,1:100
26_0041_FUL,14-1,drawing_type,floor_plan
26_0041_FUL,14-1,floor_label,second
26_0041_FUL,14-1,north_arrow,yes
26_0041_FUL,14-1,room_count,2
26_0041_FUL,15-1,scale,1:100
26_0041_FUL,15-1,drawing_type,floor_plan
26_0041_FUL,15-1,floor_label,roof
26_0041_FUL,15-1,north_arrow,yes
26_0041_FUL,15-1,room_count,0
26_0041_FUL,16-1,scale,1:100
26_0041_FUL,16-1,drawing_type,elevation
26_0041_FUL,16-1,floor_label,none
26_0041_FUL,16-1,north_arrow,no
26_0173_FUL,01-1,scale,1:50
26_0173_FUL,01-1,drawing_type,elevation
26_0173_FUL,01-1,floor_label,none
26_0173_FUL,01-1,north_arrow,no
26_0173_FUL,02-1,scale,1:1250
26_0173_FUL,02-1,drawing_type,location_plan
26_0173_FUL,02-1,floor_label,none
26_0173_FUL,02-1,north_arrow,yes
26_0173_FUL,03-1,scale,1:50
26_0173_FUL,03-1,drawing_type,floor_plan
26_0173_FUL,03-1,floor_label,ground
26_0173_FUL,03-1,north_arrow,yes
26_0173_FUL,03-1,room_count,7
26_0173_FUL,03-1,storeys,2
26_0173_FUL,04-1,scale,1:50
26_0173_FUL,04-1,drawing_type,elevation
26_0173_FUL,04-1,floor_label,none
26_0173_FUL,04-1,north_arrow,no
26_0173_FUL,05-1,scale,1:50
26_0173_FUL,05-1,drawing_type,elevation
26_0173_FUL,05-1,floor_label,none
26_0173_FUL,05-1,north_arrow,no
26_0173_FUL,06-1,scale,1:50
26_0173_FUL,06-1,drawing_type,floor_plan
26_0173_FUL,06-1,floor_label,roof
26_0173_FUL,06-1,north_arrow,yes
26_0173_FUL,06-1,room_count,0
26_0173_FUL,07-1,scale,1:50
26_0173_FUL,07-1,drawing_type,site_plan
26_0173_FUL,07-1,floor_label,none
26_0173_FUL,07-1,north_arrow,yes
26_0173_FUL,08-1,scale,1:50
26_0173_FUL,08-1,drawing_type,floor_plan
26_0173_FUL,08-1,floor_label,roof
26_0173_FUL,08-1,north_arrow,yes
26_0173_FUL,08-1,room_count,0
26_0173_FUL,09-1,scale,1:50
26_0173_FUL,09-1,drawing_type,elevation
26_0173_FUL,09-1,floor_label,none
26_0173_FUL,09-1,north_arrow,no
26_0173_FUL,10-1,scale,1:50
26_0173_FUL,10-1,drawing_type,elevation
26_0173_FUL,10-1,floor_label,none
26_0173_FUL,10-1,north_arrow,no
26_0173_FUL,11-1,scale,1:50
26_0173_FUL,11-1,drawing_type,floor_plan
26_0173_FUL,11-1,floor_label,ground
26_0173_FUL,11-1,north_arrow,yes
26_0173_FUL,11-1,room_count,6
26_0173_FUL,11-1,storeys,2
26_0173_FUL,12-1,scale,1:50
26_0173_FUL,12-1,drawing_type,elevation
26_0173_FUL,12-1,floor_label,none
26_0173_FUL,12-1,north_arrow,no
26_0242_FUL,01-1,scale,various
26_0242_FUL,01-1,drawing_type,other
