reference,file,page,kind,text_chars,n_drawings,image_cover,width_mm,height_mm,error
26_0014_FUL,01_location_plan.pdf,1,born-digital,205,2,0.236,297,210,
26_0014_FUL,02_location_plan.pdf,1,born-digital,1101,1766,0.0,420,297,
26_0014_FUL,03_drawing_other.pdf,1,born-digital,493,4404,0.0,420,297,
26_0014_FUL,04_floor_plan.pdf,1,born-digital,558,2953,0.0,420,297,
26_0014_FUL,05_proposed_floor_plan.pdf,1,born-digital,731,2019,0.0,420,297,
26_0014_FUL,06_existing_elevation.pdf,1,born-digital,428,1517,0.0,420,297,
26_0014_FUL,07_proposed_elevation.pdf,1,born-digital,862,4778,0.0,420,297,
26_0014_FUL,08_drawing_other.pdf,1,born-digital,710,6705,0.112,420,297,
26_0025_FUL,01_proposed_floor_plan.pdf,1,born-digital,2094,461,0.0,420,297,
26_0025_FUL,02_floor_plan.pdf,1,born-digital,1618,26563,0.0,420,297,
26_0025_FUL,03_proposed_elevation.pdf,1,born-digital,752,248,0.0,420,297,
26_0025_FUL,04_proposed_elevation.pdf,1,born-digital,1337,358,0.0,420,297,
26_0025_FUL,05_floor_plan.pdf,1,born-digital,1608,435,0.0,420,297,
26_0025_FUL,06_proposed_roof_plan.pdf,1,born-digital,435,249,0.0,420,297,
26_0025_FUL,07_section.pdf,1,born-digital,1099,546,0.0,420,297,
26_0025_FUL,08_proposed_elevation.pdf,1,born-digital,424,86,0.0,420,297,
26_0025_FUL,09_location_plan.pdf,1,born-digital,235,2,0.236,297,210,
26_0025_FUL,10_existing_site_plan.pdf,1,born-digital,239,112,0.0,420,297,
26_0025_FUL,11_existing_block_plan.pdf,1,born-digital,2109,302,0.0,420,297,
26_0025_FUL,12_existing_floor_plan.pdf,1,born-digital,623,217,0.0,420,297,
26_0025_FUL,13_existing_elevation.pdf,1,born-digital,319,247,0.0,420,297,
26_0028_FUL,01_location_plan.pdf,1,born-digital,425,1900,0.123,420,297,
26_0028_FUL,02_proposed_elevation.pdf,1,born-digital,147,14582,0.008,420,297,
26_0028_FUL,03_proposed_elevation.pdf,1,born-digital,147,12709,0.008,420,297,
26_0028_FUL,04_proposed_floor_plan.pdf,1,born-digital,119,2349,0.024,420,297,
26_0028_FUL,05_existing_elevation.pdf,1,born-digital,147,12718,0.008,420,297,
26_0028_FUL,06_existing_elevation.pdf,1,born-digital,147,16614,0.008,420,297,
26_0028_FUL,07_existing_floor_plan.pdf,1,born-digital,119,1563,0.024,420,297,
26_0028_FUL,08_existing_floor_plan.pdf,1,born-digital,118,1573,0.025,420,297,
