reference,register_url,accessed_on,doc_index,doc_kind,category,bytes,status
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,1,existing_elevation,Drawings and Plans,62169,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,2,existing_section,Drawings and Plans,69547,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,3,proposed_site_plan,Drawings and Plans,31931,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,4,proposed_floor_plan,Drawings and Plans,313991,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,5,proposed_roof_plan,Drawings and Plans,314439,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,6,proposed_elevation,Drawings and Plans,1647179,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,7,existing_site_plan,Drawings and Plans,31455,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,8,existing_floor_plan,Drawings and Plans,57846,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,9,existing_roof_plan,Drawings and Plans,62255,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,10,existing_elevation,Drawings and Plans,76827,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,11,proposed_elevation,Drawings and Plans,306430,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,12,proposed_section,Drawings and Plans,65939,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,13,existing_floor_plan,Drawings and Plans,2270795,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,14,location_plan,Drawings and Plans,143009,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,15,proposed_floor_plan,Drawings and Plans,586060,ok
26/0071/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0071,2026-09-09,16,proposed_drawing_other,Drawings and Plans,143826,ok
26/0014/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0014,2026-09-09,1,location_plan,Drawings and Plans,232104,ok
26/0014/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0014,2026-09-09,2,location_plan,Drawings and Plans,88630,ok
26/0014/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0014,2026-09-09,3,drawing_other,Drawings and Plans,315867,ok
26/0014/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0014,2026-09-09,4,floor_plan,Drawings and Plans,167830,ok
26/0014/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0014,2026-09-09,5,proposed_floor_plan,Drawings and Plans,92195,ok
26/0014/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0014,2026-09-09,6,existing_elevation,Drawings and Plans,148582,ok
26/0014/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0014,2026-09-09,7,proposed_elevation,Drawings and Plans,360757,ok
26/0014/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0014,2026-09-09,8,drawing_other,Drawings and Plans,325324,ok
26/0028/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0028,2026-09-09,1,location_plan,Drawings and Plans,328909,ok
26/0028/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0028,2026-09-09,2,proposed_elevation,Drawings and Plans,846571,ok
26/0028/FUL,https://exeter.gov.uk/planning-services/permissions-and-applications/related-documents/?appref=26%2F0028,2026-09-09,3,proposed_elevation,Drawings and Plans,731003,ok
